Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Category
80,98491847,7,5,355,11595,355,0,50.71428571,134.1773879,10136,0,2319.0,4414.366206,121.3298396,0.121837496,8953804.273,29700000.0,98500000,1,98500000,16400000.0,40200000.0,98500000,1,4583,1145.75,1927.616382,4037,153,0,0,232,168,0.071071873,0.050765623,0,10136,919.2307692,2798.459968,7831378.192,0,0,0,0,1,0,0,0,0,995.8333333,50.71428571,2319.0,7,355,5,11595,251,235,1,32,6.0,0.0,6,6,98500000.0,0.0,98500000,98500000,DoS Hulk,DoS
443,69157504,20,20,6394,14093,1397,0,319.7,544.0445125,4096,0,704.65,1007.342427,296.2368335,0.578389874,1773269.333,3742533.023,10000000,24,69200000,3639868.632,4790877.466,10100000,243,61400000,3231671.737,4784503.342,10100000,80,0,0,412,412,0.289194937,0.289194937,0,4096,499.6829268,816.1116786,666038.272,0,0,0,1,0,0,0,0,1,512.175,319.7,704.65,20,6394,20,14093,8192,8760,19,20,242187.8571,413027.0042,1178845,85865,9637455.571,871181.6698,10000000,7669526,BENIGN,BENIGN
1060,13,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,615384.6154,153846.1538,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,76923.07692,76923.07692,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
80,72587125,8,4,56,11601,20,0,7.0,5.656854249,10135,0,2900.25,4871.82583,160.5932181,0.165318574,6598829.545,20700000.0,68900000,1,70900000,10100000.0,25900000.0,68900000,1,1725978,575326.0,977965.7136,1704518,194,0,0,172,92,0.110212383,0.055106191,0,10135,897.1538462,2804.564846,7865583.974,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,8,56,4,11601,256,229,6,20,1994004.0,0.0,1994004,1994004,68900000.0,0.0,68900000,68900000,DDoS,DDoS
53,90869,1,1,44,140,44,44,44.0,0.0,140,140,140.0,0.0,2024.8929778032,22.0097062805,90869.0,0.0,90869,90869,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,11.0048531402,11.0048531402,44,140,76.0,55.4256258422,3072.0,0,0,0,0,0,0,0,0,1,114.0,44.0,140.0,1,44,1,140,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
199,114,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,52631.57895,17543.85965,114.0,0.0,114,114,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,8771.929825,8771.929825,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,DoS
53,23770,2,2,66,154,33,33,33.0,0.0,77,77,77.0,0.0,9255.363904,168.2793437,7923.333333,13718.41978,23764,2,2,2.0,0.0,2,2,4,4.0,0.0,4,4,0,0,40,40,84.13967186,84.13967186,33,77,50.6,24.09979253,580.8,0,0,0,0,0,0,0,0,1,63.25,33.0,77.0,2,66,2,154,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
8080,271712,28,54,109704,440,23360,0,3918.0,4864.576507,128,0,8.148148148,16.63754269,405370.3922,301.7901307,3354.469136,28847.96931,259774,0,271712,10063.40741,50979.67279,265147,1,270469,5103.188679,35655.54562,259774,0,0,0,572,1092,103.0502885,198.7398422,0,23360,1327.036145,3354.291541,11300000.0,0,0,0,1,0,0,0,0,1,1343.219512,3918.0,8.148148148,28,109704,54,440,8192,1369,27,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot,Bot
53,198,2,2,102,224,51,51,51.0,0.0,112,112,112.0,0.0,1646464.646,20202.0202,66.0,73.66817495,147,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,40,40,10101.0101,10101.0101,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51.0,112.0,2,102,2,224,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,281849,3,7,26,11607,20,0,8.666666667,10.26320288,5840,0,1658.142857,2127.59774,41273.8736,35.47999106,31316.55556,93622.73576,280977,3,508,254.0,246.0731599,428,80,281793,46965.5,114641.9034,280977,3,0,0,72,152,10.64399732,24.83599374,0,5840,1057.545455,1846.729724,3410410.673,0,0,0,1,0,0,0,0,2,1163.3,8.666666667,1658.142857,3,26,7,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,DDoS
80,97962817,6,7,307,11595,307,0,51.16666667,125.3322252,4344,0,1656.428571,1757.579003,121.4950771,0.132703411,8163568.083,28300000.0,97900000,1,98000000,19600000.0,43800000.0,97900000,1,17485,2914.166667,4495.780974,10036,1,0,0,200,232,0.061247728,0.071455683,0,4344,850.1428571,1460.153883,2132049.363,0,0,0,0,1,0,0,0,1,915.5384615,51.16666667,1656.428571,6,307,7,11595,251,235,1,32,1034.0,0.0,1034,1034,97900000.0,0.0,97900000,97900000,DoS Hulk,DoS
21,222,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,63063.06306,13513.51351,111.0,83.43860018,170,52,222,222.0,0.0,222,222,0,0.0,0.0,0,0,1,0,64,20,9009.009009,4504.504505,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,Brute Force
80,11315654,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.120955625,0.353492604,3771884.667,6532245.464,11300000,6,11300000,3771884.667,6532245.464,11300000,6,0,0.0,0.0,0,0,0,0,80,0,0.353492604,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,4,24,0,0,256,-1,3,20,982.0,0.0,982,982,11300000.0,0.0,11300000,11300000,DDoS,DDoS
80,7088845,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.232001123,0.70533352,1772211.25,3543089.958,7086846,1,7088845,1772211.25,3543089.958,7086846,1,0,0.0,0.0,0,0,0,0,100,0,0.70533352,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,5,30,0,0,256,-1,4,20,1999.0,0.0,1999,1999,7086846.0,0.0,7086846,7086846,DDoS,DDoS
80,3058981,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.845749941,1.30762499,1019660.333,1762631.031,3054971,995,3058981,1019660.333,1762631.031,3054971,995,0,0.0,0.0,0,0,0,0,80,0,1.30762499,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,DDoS
22,63,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,15873.01587,15873.01587,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator,Brute Force
555,42,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,142857.1429,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,23809.52381,23809.52381,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
55056,48,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,166666.6667,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,24,20,20833.33333,20833.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
21,48,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,291666.6667,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,1,0,64,0,41666.66667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,Brute Force
2525,16,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,375000.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,62500.0,62500.0,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
51850,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,2,12,0,0,5114,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,1972,5,0,12,0,6,0,2.4,3.286335345,0,0,0.0,0.0,6085.192698,2535.496957,493.0,977.3341291,1959,3,1972,493.0,977.3341291,1959,3,0,0.0,0.0,0,0,0,0,136,0,2535.496957,0.0,0,6,2.0,3.098386677,9.6,0,0,0,0,1,0,0,0,0,2.4,2.4,0.0,5,12,0,0,251,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,DoS
443,905682,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,13.24968366,2.208280611,905682.0,0.0,905682,905682,905682,905682.0,0.0,905682,905682,0,0.0,0.0,0,0,0,0,40,0,2.208280611,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,9.0,6.0,0.0,2,12,0,0,65535,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
53,61397,2,2,58,382,29,29,29.0,0.0,191,191,191.0,0.0,7166.473932,65.14976302,20465.66667,35442.37833,61391,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,40,40,32.57488151,32.57488151,29,191,93.8,88.73105432,7873.2,0,0,0,0,0,0,0,0,1,117.25,29.0,191.0,2,58,2,382,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,5026825,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.795730904,1675608.333,2901203.902,5025630,144,5026825,2513412.5,3552812.06,5025630,1195,0,0.0,0.0,0,0,0,0,104,40,0.596798178,0.198932726,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force,Web Attack
80,66629,5,3,435,283,435,0,87.0,194.5379140425,283,0,94.3333333333,163.3901261807,10776.0884899969,120.0678383287,9518.4285714286,10669.1729272883,23332,9,66629,16657.25,9475.722360327,23998,4118,39188,19594.0,26744.1926780376,38505,683,0,0,172,104,75.0423989554,45.0254393732,0,435,79.7777777778,162.801088585,26504.1944444444,0,0,0,1,0,0,0,0,0,89.75,87.0,94.3333333333,5,435,3,283,65535,285,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
53,31684,2,2,78,242,39,39,39.0,0.0,121,121,121.0,0.0,10099.73488,126.246686,10561.33333,18289.30185,31680,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,64,64,63.12334301,63.12334301,39,121,71.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,89.75,39.0,121.0,2,78,2,242,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
53,23383,1,1,47,175,47,47,47.0,0.0,175,175,175.0,0.0,9494.076893,85.53222427,23383.0,0.0,23383,23383,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,20,42.76611213,42.76611213,47,175,89.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,134.5,47.0,175.0,1,47,1,175,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,48118185,5,4,339,11595,339,0,67.8,151.6054089,8688,0,2898.75,4095.56617,248.0143422,0.187039474,6014773.125,11900000.0,32100000,51,48100000,12000000.0,15300000.0,32100000,105,6486,2162.0,2533.229559,5084,584,0,0,184,136,0.103910819,0.083128655,0,8688,1193.4,2784.977127,7756097.6,0,0,0,1,0,0,0,0,0,1326.0,67.8,2898.75,5,339,4,11595,29200,235,1,32,0.0,0.0,0,0,24100000.0,11300000.0,32100000,16000000,DoS Hulk,DoS
53,60333,4,2,164,338,41,41,41.0,0.0,169,169,169.0,0.0,8320.487958,99.44806325,12066.6,16498.23555,30144,3,30141,10047.0,17396.71831,30135,3,48,48.0,0.0,48,48,0,0,104,40,66.29870883,33.14935442,41,169,77.57142857,62.45760467,3900.952381,0,0,0,0,0,0,0,0,0,90.5,41.0,169.0,4,164,2,338,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
21,269,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,52044.60967,11152.41636,134.5,72.83199846,186,83,269,269.0,0.0,269,269,0,0.0,0.0,0,0,1,0,64,20,7434.944238,3717.472119,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,Brute Force
80,2,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,64,0,1000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,DoS
5190,61,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,98360.65574,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,16393.44262,16393.44262,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
6156,46,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,130434.7826,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,21739.13043,21739.13043,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
64156,58,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,206896.551724138,34482.7586206897,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,17241.3793103448,17241.3793103448,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,1,6,1,6,8190,64240,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,97289773,8,7,344,11595,344,0,43.0,121.6223664,7240,0,1656.428571,2565.850857,122.7158789,0.15417859,6949269.5,26000000.0,97300000,1,97300000,13900000.0,36800000.0,97300000,1,10515,1752.5,3591.738005,9078,175,0,0,264,232,0.082228581,0.071950009,0,7240,746.1875,1824.233838,3327829.096,0,0,0,0,1,0,0,0,0,795.9333333,43.0,1656.428571,8,344,7,11595,274,235,1,32,1049.0,0.0,1049,1049,97300000.0,0.0,97300000,97300000,DoS Hulk,DoS
53,210,2,2,94,350,47,47,47.0,0.0,175,175,175.0,0.0,2114285.714,19047.61905,70.0,80.29321266,159,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,80,80,9523.809524,9523.809524,47,175,98.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,122.75,47.0,175.0,2,94,2,350,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,326370,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,35625.21065,21.44804976,54395.0,125333.1913,309955,63,15294,7647.0,10429.82502,15022,272,326235,108745.0,174396.8257,309955,1058,0,0,72,92,9.192021325,12.25602843,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,DDoS
53,71097,2,2,66,150,33,33,33.0,0.0,75,75,75.0,0.0,3038.102873539,56.2611643248,23699.0,41000.2474260827,71042,4,4,4.0,0.0,4,4,51,51.0,0.0,51,51,0,0,64,64,28.1305821624,28.1305821624,33,75,49.8,23.0043474152,529.2,0,0,0,0,0,0,0,0,1,62.25,33.0,75.0,2,66,2,150,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
22,11814049,19,31,2008,2745,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,402.3176135,4.232249248,241103.0408,638442.7556,2259759,4,10400000,575207.3889,955059.2679,2304263,587,11800000,393796.7,782673.0635,2259759,4,0,0,616,1000,1.608254714,2.623994534,0,976,93.19607843,193.9302988,37608.96078,0,0,0,1,0,0,0,0,1,95.06,105.6842105,88.5483871,19,2008,31,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator,Brute Force
80,1787618,3,6,26,11607,20,0,8.666666667,10.26320288,5755,0,1934.5,2529.124572,6507.542439,5.034632679,223452.25,631563.0619,1786491,13,811,405.5,456.0838739,728,83,1787541,357508.2,798825.7327,1786491,13,0,0,72,132,1.678210893,3.356421786,0,5755,1163.3,2131.87096,4544873.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,DDoS
64038,78,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25641.0256410256,78.0,0.0,78,78,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,32,32,12820.5128205128,12820.5128205128,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1,0,1,0,114,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
80,107825336,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.018548516,108000000.0,0.0,108000000,108000000,108000000,108000000.0,0.0,108000000,108000000,0,0.0,0.0,0,0,0,0,40,0,0.018548516,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,1022,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,BENIGN
21,4,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,Brute Force
20221,72,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,83333.33333,27777.77778,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,40,20,13888.88889,13888.88889,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,PortScan
